"Access Token", "Token di accesso"
"If enabled, logs will be shown in var/log/tun2u_order_migration.log","Se abilitato verranno mostrati i log dentro var/log/tun2u_order_migration.log"
"If enabled, sync if exist Salable Quantity instead default quantity.","Se abilitato, sincronizza se esiste la Salable Quantity invece della quantità di default."
"Specify the product SKU if you want enable stock syncronization.,"Specificare l'SKU del prodotto se si desidera abilitare la sincronizzazione della quantità."
"Order Id", "Id ordine"
"Increment Id", "Id incrementale"
"Start Date", "Data inizio"
"Order Prefix", "Prefisso ordine"
"Synchronization start date", "Data inizio sincronizzazione"
"Enter the order prefix", "Inserisci il prefisso dell'ordine"
"Store code", "Codice store"